travel_km,electricity,screen_time,waste,emission,food_encoded,transport
1.55,6.12,2.4,0.7,11.03,1,3
10.04,4.5,4.1,0.54,7.44,1,4
15.27,2.81,4.0,0.51,6.01,1,4
0.5,10.16,6.3,0.73,12.7,1,4
3.6,5.02,5.1,0.64,6.33,1,4
7.77,5.14,4.2,0.73,4.89,0,3
6.87,7.14,2.6,0.45,5.5,1,0
0.5,4.76,3.0,0.66,8.86,1,1
14.33,8.78,7.4,0.8,10.06,1,4
9.51,7.78,2.4,1.03,12.72,1,2
9.25,9.62,5.3,0.91,7.31,1,2
9.42,2.47,2.8,1.0,6.73,1,0
0.5,9.06,8.4,0.73,11.57,1,3
6.02,6.8,8.5,0.75,8.38,1,4
11.49,7.73,4.2,0.81,5.26,1,0
4.53,7.42,3.6,0.82,9.05,1,0
13.81,7.11,5.6,0.68,7.85,0,0
11.62,3.96,2.3,0.86,7.91,1,1
13.91,6.95,3.0,0.93,8.82,0,4
5.97,9.47,7.1,1.02,11.84,0,2
14.35,11.36,7.8,0.67,12.11,0,0
3.73,3.54,3.2,0.75,5.75,1,1
8.87,5.75,8.1,0.9,6.96,1,0
7.08,5.74,8.3,0.7,4.18,0,1
17.2,4.77,8.2,0.86,7.51,1,0
16.87,6.85,3.1,0.6,10.38,1,1
14.94,4.61,4.3,0.89,5.65,0,4
17.07,3.86,8.8,0.58,6.57,1,0
16.94,7.23,3.4,0.63,14.26,1,2
9.91,5.13,8.7,0.92,4.86,1,4
11.5,8.39,8.7,0.73,2.54,0,3
15.11,7.45,6.9,0.57,8.49,1,2
6.23,5.0,7.2,1.04,8.68,1,2
10.22,7.99,8.4,0.93,9.99,1,2
8.28,9.11,7.6,0.76,9.75,1,0
15.04,6.21,4.0,0.63,7.37,0,1
2.43,5.68,7.4,0.84,6.7,0,1
6.92,6.36,6.5,0.6,6.94,1,0
9.35,7.82,2.5,0.83,11.66,1,1
9.46,5.43,7.0,0.6,5.66,0,0
14.49,8.14,3.7,0.99,9.69,1,4
9.17,5.85,5.4,1.11,11.23,1,0
12.53,3.19,2.3,0.96,6.29,0,2
6.26,5.4,8.6,0.68,7.74,1,1
9.54,9.56,8.6,0.76,11.89,1,4
5.57,4.89,7.9,0.71,9.53,1,2
9.64,7.29,6.9,0.85,9.7,1,4
7.23,6.75,8.9,0.53,8.64,1,2
9.32,7.85,8.0,0.98,8.26,1,3
10.24,9.8,8.3,0.87,12.83,0,2
13.3,7.21,6.0,0.71,7.41,1,1
20.37,9.62,7.5,0.63,9.8,1,4
3.2,7.43,5.1,0.81,9.3,1,1
15.22,8.19,2.7,0.76,9.77,1,4
4.27,7.82,6.9,1.1,5.22,1,4
4.09,3.78,2.8,1.18,4.65,0,2
13.29,4.4,6.1,0.67,10.89,1,2
13.61,5.27,2.1,0.78,6.03,1,0
12.28,7.66,2.5,0.78,6.13,1,3
6.22,9.76,8.3,0.53,9.14,0,1
11.56,7.64,3.9,0.66,6.45,0,1
0.58,2.44,6.8,0.76,3.41,0,4
6.72,9.18,8.1,0.92,9.5,1,2
4.12,6.95,7.9,0.72,6.26,1,2
11.57,6.24,7.7,1.04,5.23,1,4
13.25,4.42,6.2,0.71,4.35,1,4
10.24,9.11,2.8,0.79,7.76,0,3
20.19,8.19,2.9,0.77,9.46,1,0
14.58,8.8,3.5,0.95,7.85,1,4
0.5,5.85,7.5,0.88,6.26,0,0
5.94,8.74,5.2,0.85,11.03,0,2
13.61,7.08,2.9,0.84,8.81,0,4
13.47,5.61,4.4,0.84,8.71,1,4
15.82,6.35,2.6,0.69,12.17,1,3
6.26,6.96,5.5,0.83,7.79,0,2
6.17,7.1,7.2,0.81,4.92,0,1
9.81,5.09,6.3,0.73,7.5,1,3
3.23,6.15,5.7,0.66,8.2,1,3
12.1,2.0,3.9,0.56,7.41,1,0
5.81,3.72,6.2,0.53,6.09,1,4
6.31,3.56,7.2,0.39,6.66,1,1
5.24,7.62,4.5,0.33,6.29,0,0
9.4,4.23,4.0,0.61,5.77,0,3
8.68,5.81,7.7,0.58,4.23,0,3
14.11,5.19,6.0,0.75,7.59,1,0
8.95,3.44,3.7,0.2,5.07,0,1
0.5,6.25,3.1,1.12,7.21,0,3
0.5,3.27,8.9,0.48,6.4,1,1
9.34,2.78,6.2,0.1,4.71,1,1
8.81,5.12,2.5,0.58,9.19,1,4
9.62,5.87,3.1,0.67,10.72,1,0
10.14,9.52,4.6,0.78,12.29,1,3
6.07,10.38,8.3,1.02,14.44,1,4
3.16,7.66,3.0,0.97,10.81,1,2
12.73,7.8,4.2,1.02,13.13,1,4
8.58,10.08,4.4,0.94,8.98,1,1
17.15,6.56,3.6,1.05,11.34,1,0
15.89,5.97,8.4,0.61,8.72,1,0
12.72,10.62,2.1,1.04,10.3,1,4
14.36,9.25,7.2,0.95,11.13,1,0
6.22,7.83,4.8,0.65,10.01,1,2
4.29,4.04,8.4,0.35,4.85,0,1
10.66,8.87,5.2,0.63,11.13,1,0
4.91,5.45,6.4,0.82,7.84,1,4
1.93,6.79,3.0,0.52,5.41,1,3
11.34,3.03,3.4,0.65,4.91,1,4
5.87,3.46,2.5,0.47,9.02,1,2
18.02,6.68,3.3,0.1,10.19,0,2
7.56,7.6,3.1,0.71,13.18,1,1
17.09,3.17,2.1,0.37,7.25,1,4
3.9,5.32,3.7,0.47,7.36,1,1
10.5,2.5,8.3,0.64,5.66,0,1
13.3,2.26,8.2,0.42,5.39,1,4
16.2,6.88,6.4,0.18,10.95,1,4
4.99,3.53,7.3,0.72,7.33,1,2
5.88,5.06,3.8,0.18,9.03,1,2
0.85,4.69,2.1,0.2,6.79,1,0
